,Document Title,Authors,Universities,Author Affiliations,Publication Year,citation,DOI,Publisher
0,Blockchain Extension for PostgreSQL Data Storage,"Yash Madhwal,Darkhan Nurlybay,Yury A Yanovich",['National Research University Higher School of Economics'],Russia,2021,0,https://doi.org/10.1145/3475992.3476002,ACM
1,Overview of Blockchain Data Privacy Protection,"Qi Zhang,Hai Lv,Junwei Ma,Jingye Li,Jieni Zhang",['Taiyuan University of Technology'],China,2021,0,https://doi.org/10.1145/3475992.3476000,ACM
2,Blockchain Enabled IoT Edge Computing,Pankaj Mendki,[],India,2019,15,https://doi.org/10.1145/3320154.3320166,ACM
3,Towards a Blockchain Deployment at UAE University: Performance Evaluation and Blockchain Taxonomy,"Leila Ismail,Heba Hameed,Mahra AlShamsi,Manayer S Alhammadi,Noura AlDhanhani",['UAE University'],UAE,2019,13,https://doi.org/10.1145/3320154.3320156,ACM
4,PoolParty: Efficient Blockchain-Agnostic Decentralized Mining Pool,"Nicholas Dana Troutman,Aron Laszka",['University of Houston'],USA,2021,0,https://doi.org/10.1145/3460537.3460554,ACM
5,Blockchain Analysis Tool of a Cryptocurrency,"Robert Werner,Sebastian Lawrenz,Andreas Rausch",['Clausthal University of Technology'],Germany,2020,4,https://doi.org/10.1145/3390566.3391671,ACM
6,Practical Blockchain-Based Financial Assets Tokenization,"Yatipa Chaleenutthawut,Vyacheslav A Davydov,Alexander Kuzmin,Yury A Yanovich",['Singapore University of TechnologyDesign'],Russia,2022,0,https://doi.org/10.1145/3510487.3510495,ACM
7,Practical Blockchain-Based Financial Assets Tokenization,"Yatipa Chaleenutthawut,Vyacheslav A Davydov,Alexander Kuzmin,Yury A Yanovich",['Singapore University of TechnologyDesign'],Russia,2022,0,https://doi.org/10.1145/3510487.3510495,ACM
8,Ring Signature-Based Voting on Blockchain,"Alexandra Kugusheva,Yury A Yanovich",['National Research University'],Russia,2020,0,https://doi.org/10.1145/3376044.3376054,ACM
9,"Blockchain Enabled IoT Edge Computing: Addressing Privacy, Security and other Challenges",Pankaj Mendki,[],India,2020,7,https://doi.org/10.1145/3390566.3391689,ACM
10,Application of Blockchain Technology in Oil and Gas Industry,"Jian Sun,Gufan Zhao,Ruiyao Wang",[],China,2021,0,https://doi.org/10.1145/3460537.3460538,ACM
11,Blockchain Technology as an Approach for Data Marketplaces,"Sebastian Lawrenz,Priyanka Sharma,Andreas Rausch",['Clausthal University of Technology'],Germany,2019,10,https://doi.org/10.1145/3320154.3320165,ACM
12,Blockchain-based Supply Chain Financial Services Using Smart Contract,Xiaocong Yu,['Hubei University of Technology'],China,2022,0,https://doi.org/10.1145/3510487.3510497,ACM
13,A Time-Segmented Consortium Blockchain for Robotic Event Registration,"Vasco Ferrinho Lopes,Nuno Pereira,Miguel Ivo Fernandes,Luís A Alexandre",['University of Beira Interior'],PT,2021,0,https://doi.org/10.1145/3460537.3460557,ACM
14,A Time-Segmented Consortium Blockchain for Robotic Event Registration,"Vasco Ferrinho Lopes,Nuno Pereira,Miguel Ivo Fernandes,Luís A Alexandre",['University of Beira Interior'],PT,2021,0,https://doi.org/10.1145/3460537.3460557,ACM
15,DeExam: A Decentralized Exam Administration Model using Public Blockchain,"Yusuke Kaneko,Shuntaro Tanaka,Tomoyuki Kimura,Jun Okumura,Shigeyuki Azuchi,Shigeyuki Osada",['Ltd and Okayama University'],Japan,2021,0,https://doi.org/10.1145/3475992.3475993,ACM
16,Increasing the Confidence of the Brazilian Livestock Production Chain using Blockchain,"Vasco V Picchi,Eduardo F De Castro,Fernando C Marino,Sérgio L Ribeiro",[],Brazil,2020,0,https://doi.org/10.1145/3376044.3376058,ACM
17,A Survey of Blockchain Based on E-voting Systems,"Yousif Abuidris,Rajesh Kumar,Wang WenYong",['University of Electronic Science and Technology of China'],china,2020,0,https://doi.org/10.1145/3376044.3376060,ACM
18,An Anonymous Transmission Algorithm Named Ripple Spreading for Blockchain,"Yongwang Zhou,Zhuchao Yu,Yixiao Lan,Yuxin Guo,Ruinan Chen",['Northeastern University'],China,2020,1,https://doi.org/10.1145/3390566.3391682,ACM
19,Blockchain Adoption for Plea Bargaining of Corporate Crime in Indonesia,"Henry Dianto Sinaga,Andhy H Bolifaar",['Diponegoro University'],Indonesia,2020,0,https://doi.org/10.1145/3390566.3391680,ACM
20,CoVID-19 Vaccination Certificate Supply Verification Based on Blockchain,"Yash Madhwal,Yury A Yanovich,Ilya Chumakov",[],Russia,2022,0,https://doi.org/10.1145/3510487.3510500,ACM
21,Consensus in Blockchain Systems with Low Network Throughput: A Systematic Mapping Study,"Henrik Knudsen,Jakob Svennevik Notland,Peter Halland Haro,Truls Bakkejord Ræder,Jingyue Li",['Norwegian University of Science and Technology'],Norway,2021,0,https://doi.org/10.1145/3475992.3475995,ACM
22,Creating Lean and Agile Supply Chains with Blockchain,"Ruijuan Zhao,Jay Bal,Xiao Ma","['Shanghai University of Political Science and Law', 'University of Warwick']",UK,2021,0,https://doi.org/10.1145/3460537.3460558,ACM
23,Creating Lean and Agile Supply Chains with Blockchain,"Ruijuan Zhao,Jay Bal,Xiao Ma","['Shanghai University of Political Science and Law', 'University of Warwick']",UK,2021,0,https://doi.org/10.1145/3460537.3460558,ACM
24,A Blockchain-Based Deposit System to Reduce WEE,"Sebastian Lawrenz,Vera Stein,Lukas Jacobs,Andreas Rausch",['Clausthal University of Technology'],Germany,2020,0,https://doi.org/10.1145/3390566.3391686,ACM
25,Occupation mechanism for eliminating double-spending attacks on trusted transaction blockchain,"Yuyan Zhang,Mengyan Huang,Xu Zhang",['Beijing University of Posts and Telecommunications and Beijing University of Posts and Telecommunications'],P. R. China,2021,0,https://doi.org/10.1145/3460537.3460543,ACM
26,Smart Contract Development Model and the Future of Blockchain Technology,"Richard Richard,Harjanto Prabowo,Agung Trisetyarso,Benfano Soewito","['Information Systems Department School of Information Systems Bina Nusantara University Computer Science Department BINUS Graduate Program  Doctor of Computer Science Bina Nusantara University', 'Computer Science Department BINUS Graduate Program  Doctor of Computer Science Bina Nusantara University']",Indonesia,2021,0,https://doi.org/10.1145/3446983.3446994,ACM
27,A Blockchain Based Land Registration and Ownership Management System for Bangladesh,"Roti Islam Shithy,Nur Mohammad,H N Ashiqur Ruhullah,S M Oni,Md Al Amin",['American International UniversityBangladesh'],Bangladesh,2022,0,https://doi.org/10.1145/3510487.3510501,ACM
28,A Blockchain-based Flexible Traceability System for IoT Cards,"Meiyu Lin,Haiting Han",['University of Copenhagen'],Denmark,2021,0,https://doi.org/10.1145/3460537.3460542,ACM
29,A Blockchain-based Flexible Traceability System for IoT Cards,"Meiyu Lin,Haiting Han",['University of Copenhagen'],Denmark,2021,0,https://doi.org/10.1145/3460537.3460542,ACM
30,Blockchain-Enabled Trust Management in Service-Oriented Internet of Things: Opportunities and Challenges,"Lijun Wei,Jing Wu,Chengnian Long",['Shanghai Jiao Tong University'],China,2021,0,https://doi.org/10.1145/3460537.3460544,ACM
31,On PeerCoin Proof of Stake for Blockchain Consensus,"W. Zhao,Shunkun Yang,Xiong Luo,Jiong Zhou","['Cleveland State University', 'Beihang University', 'University of Science and Technology Beijing', 'Northwestern Polytechnical University']",China,2021,1,https://doi.org/10.1145/3460537.3460547,ACM
32,On PeerCoin Proof of Stake for Blockchain Consensus,"W. Zhao,Shunkun Yang,Xiong Luo,Jiong Zhou","['Cleveland State University', 'Beihang University', 'University of Science and Technology Beijing', 'Northwestern Polytechnical University']",China,2021,1,https://doi.org/10.1145/3460537.3460547,ACM
33,A Data Sharing Scheme Based on Blockchain System and Attribute-Based Encryption,"Xiaodong Zhang,Taowei Chen,Yan Feng,Yimin Yu",['Yunnan University of Finance and Economics'],China,2021,1,https://doi.org/10.1145/3460537.3460559,ACM
34,Data Protection Method with Blockchain against Fabrication of Video by Surveillance Cameras,Ryuya Uda,['Tokyo University of Technology'],Japan,2020,0,https://doi.org/10.1145/3390566.3391685,ACM
35,A Differential-Privacy-Based Blockchain Architecture to Secure and Store Electronic Health Records,"Avery W Huang,Adharsh Kandula,Xiaodi Wang",['Western Connecticut State University'],USA,2021,1,https://doi.org/10.1145/3460537.3460555,ACM
36,Design and Analysis of Blood Donation Model Based on Blockchain and KNN,"Yaling Luo,Gehao Lu,Yiming Wu",['Yunnan University'],China,2021,0,https://doi.org/10.1145/3475992.3475997,ACM
37,A Performance Measurement and Optimization Mechanism for Blockchain Mining Pool System,"Xiaopeng Li,Zhuo Li",['Zhejiang University'],??,2021,0,https://doi.org/10.1145/3446983.3446991,ACM
38,A Performance Measurement and Optimization Mechanism for Blockchain Mining Pool System,"Xiaopeng Li,Zhuo Li",['Zhejiang University'],??,2021,0,https://doi.org/10.1145/3446983.3446991,ACM
39,Blockchain Privacy Protection Algorithm Based on Pedersen Commitment and Zero-knowledge Proof,"Haifeng Wang,Junguo Liao",['Hunan University of Science and Technology'],China,2022,0,https://doi.org/10.1145/3510487.3510488,ACM
40,The Fit of Blockchain into Rural Area Financial Management Accountability in Indonesia,"Dumaria Simanjuntak,Retno Saraswati,","['Law Candidate in Diponegoro University and Auditor in The Audit Board of Republic of Indonesia', 'Diponegoro University']",Indonesia,2020,0,https://doi.org/10.1145/3390566.3391677,ACM
41,A Design of Economic Mechanism for Business Development Based on Blockchain,"Yixin Cao,Zhaoye Xu,Xiaochuan Wu",[],China,2019,0,https://doi.org/10.1145/3320154.3320159,ACM
42,Prevention of Medication Loss through a Marketplace and Blockchain,"José G Neto,Raphael C Barbosa,Fernando C Marino,Nicholas L Zanutim",[],Brazil,2020,1,https://doi.org/10.1145/3376044.3376059,ACM
43,A Hierarchical Trust Management Architecture Based on Blockchain for Crossover Service,"Lijun Wei,Jing Wu,Chengnian Long",['Shanghai Jiao Tong University and the Key Laboratory of System Control and Information Processing'],China,2020,3,https://doi.org/10.1145/3390566.3391663,ACM
44,An Improved Consensus Mechanism for the Blockchain Based on Credit Rewards and Punishments,"Lixiang Li,Jin Yan,Haipeng Peng,Yixian Yang",['Beijing University of Posts and Telecommunications'],China,2020,0,https://doi.org/10.1145/3390566.3391668,ACM
45,Attribute-based Access Control of Data Sharing Based on Hyperledger Blockchain,"Afnan M Alniamy,Bradley D Taylor",['The Catholic University of America Washington'],The United States of America,2020,4,https://doi.org/10.1145/3390566.3391688,ACM
46,Blockchain-based Services for Sharing Education Records in Industrial IoT Environment,Adel Binbusayyyis,['Prince Sattam bin Abdullaziz UniversityPSAU'],Saudi Arabia,2022,0,https://doi.org/10.1145/3510487.3510507,ACM
47,Que Bian: An Electronic Medical Record Management System on Blockchain,Hao Wang,[],China,2021,0,https://doi.org/10.1145/3446983.3446985,ACM
48,Research on Blockchain Financial Derivatives Cluster,"Shurui Zhang,Ji'an Tang,Qiao Hu,Feng Liu","['School of Financial Management and Shanghai University of International Business and Economics', 'International Business and Economics institute and Shanghai University of International Business and Economics', 'School of Business and Management and Shanghai International Studies University', 'East China Normal University and Institute of Artificial Intelligence and Change Management Shanghai University of International Business']",China,2021,0,https://doi.org/10.1145/3446983.3446996,ACM
49,Practical Application and Evaluation of Atomic Swaps for Blockchain-based Recommender Systems,"Andrea Lisi,Andrea de Salve,Paolo Mori,Laura Ricci","['University of Pisa and Consiglio Nazionale delle Ricerche  IIT Pisa', 'University of Pisa']",Italy,2021,0,https://doi.org/10.1145/3446983.3446993,ACM
50,A Blockchain and SIFT Based System for Image Copyright Protection,"Jianfeng Shi,Dian Yi,",['Beijing University of Posts and Telecommunications'],China,2020,1,https://doi.org/10.1145/3376044.3376051,ACM
51,Runtime Hook on Blockchain and Smart Contract Systems,"Weiting Lin,Shunwen Hsiao,Fang Yu",['National Chengchi University'],Taiwan Roc,2020,0,https://doi.org/10.1145/3384942.3406870,ACM
52,Preliminary steps towards modeling blockchain oriented software,"Henrique Rocha,Stéphane Ducasse",[],France,2018,22,https://doi.org/10.1145/3194113.3194123,ACM
53,Design of Transaction System for Remote Sensing Cloud Service based on Blockchain,"Yang Lu,Xueheng Wang,Renle Wei,Yihua Gao,Zhenyue Huang,Yi Xie",['Henan University'],China,2020,0,https://doi.org/10.1145/3376044.3376056,ACM
54,Design of Transaction System for Remote Sensing Cloud Service based on Blockchain,"Yang Lu,Xueheng Wang,Renle Wei,Yihua Gao,Zhenyue Huang,Yi Xie",['Henan University'],China,2020,0,https://doi.org/10.1145/3376044.3376056,ACM
55,A Strategy for Mitigating Denial of Service Attacks on Nodes with Delegate Account of Lisk Blockchain,Davi Alves,[],PGCOMP,2020,3,https://doi.org/10.1145/3390566.3391684,ACM
56,Secure Hierarchical Processing and Logging of Sensing Data and IoT Events with Blockchain,"W. Zhao,Shunkun Yang,Xiong Luo","['Cleveland State University', 'Beihang University', 'University of Science and Technology']",Beijing Key Lab of Knowledge Engr. for Materials Sci.,2020,8,https://doi.org/10.1145/3390566.3391672,ACM
57,Secure Hierarchical Processing and Logging of Sensing Data and IoT Events with Blockchain,"W. Zhao,Shunkun Yang,Xiong Luo","['Cleveland State University', 'Beihang University', 'University of Science and Technology']",Beijing Key Lab of Knowledge Engr. for Materials Sci.,2020,8,https://doi.org/10.1145/3390566.3391672,ACM
58,Secure Hierarchical Processing and Logging of Sensing Data and IoT Events with Blockchain,"W. Zhao,Shunkun Yang,Xiong Luo","['Cleveland State University', 'Beihang University', 'University of Science and Technology']",Beijing Key Lab of Knowledge Engr. for Materials Sci.,2020,8,https://doi.org/10.1145/3390566.3391672,ACM
59,Authentic Facts: A Blockchain Based Solution for Reducing Fake News in Social Media,"Imran Ush Shahid,Md Tanbir Anjum,Md Shafayet Hossain Miah Shohan,Rahanuma Tasnim,Md Al-Amin",['American International UniversityBangladesh'],Bangladesh,2022,0,https://doi.org/10.1145/3510487.3510505,ACM
60,Simulating Difficulty Adjustment in Blockchain with SimBlock,"Zi Hau Chin,Timothy Tzen Vun Yap,Ian K Tan","['Multimedia University', 'Monash University Malaysia']",Malaysia,2020,7,https://doi.org/10.1145/3384943.3409437,ACM
61,A Blockchain-based Trading Matching Scheme in Energy Internet,"Xin Lu,Zhitao Guan",['North China Electric Power University'],China,2020,2,https://doi.org/10.1145/3384943.3409430,ACM
62,Blockchain based Big Data Platform of City Brain,"Yu Liu,Junfang Zeng",[],China,2021,0,https://doi.org/10.1145/3460537.3460561,ACM
63,How much blockchain do you need?: towards a concept for building hybrid DApp architectures,"Florian Wessling,Christopher Ehmke,Marc Hesenius,Volker Gruhn",['University of DuisburgEssen'],Germany,2018,17,https://doi.org/10.1145/3194113.3194121,ACM
64,Document Management System using Blockchain and Inter Planetary File System,"Mohit Vashistha,Ferdous Ahmed Barbhuiya",[],India,2020,0,https://doi.org/10.1145/3384943.3409443,ACM
65,Application Prospect of Blockchain in Renewable Energy Certificates,"Shengnan Zhang,Jiaxing Xuan,,Yuchen Fu",[],China,2020,2,https://doi.org/10.1145/3424978.3425016,ACM
66,On Design of Blockchain-based Transport Scheme,"Yan Ren,Qiuxia Zhao,Haipeng Guan,Zhiqiang Lin","['Yuncheng University', 'Guangzhou University']",China,2020,0,https://doi.org/10.1145/3384943.3409444,ACM
67,Security Control Components for Epidemic Prevention Donation Management Blockchain,"Shuo Wang,Qianmu Li,Jun Hou,Jian Jiang","['Nanjing University of Science and Technology', 'Nanjing University of Science and Technology  Wuyi University']",China,2020,4,https://doi.org/10.1145/3384943.3409424,ACM
68,Conceptualizing Blockchain based Energy Market for Self Sustainable Community,"A. Nidhin Mahesh,N B Shibu,S Balamurugan",[],India,2019,8,https://doi.org/10.1145/3362744.3363345,ACM
69,The Data Sharing Scheme based on Blockchain,"Xu Ma,Chen Wang,Laihua Wang",['Qufu Normal University'],China,2020,0,https://doi.org/10.1145/3384943.3409426,ACM
70,A Tool for Moving Blockchain Computations Off-Chain,"Christian G Liu,Peter Bodorik,Dawn Natalie Jutla","['Dalhousie University', 'Saint Marys University']",Canada,2021,0,https://doi.org/10.1145/3457337.3457848,ACM
71,Evaluating complexity and digitizability of regulations and contracts for a blockchain application design,"Pradeepkumar D S,Kapil Singi,Vikrant S Kaulgud,Sanjay Podder",[],India,2018,5,https://doi.org/10.1145/3194113.3194117,ACM
72,An Advanced PBFT-based Consensus Algorithm for a Bidding Consortium Blockchain,"Liang Du,Yuan Tao,Tianmei Chen,Qing Wang,Hanyu Lv",[],China,2021,0,https://doi.org/10.1145/3460537.3460552,ACM
73,Blockchain Technology Adoption via Contractual Coordination Mechanisms,"Saidjahon Hayrutdinov,Ayesha Saeed,Liu Tong","['Southwest Jiaotong University', 'School Of Transportation And Logistics Southwest Jiaotong University']",China,2021,0,https://doi.org/10.1145/3446983.3446989,ACM
74,Prediction of the Consolidation Delay in Blockchain-based Applications,"Simonetta Balsamo,Andrea Marin,Isi Mitrani,Nicola Rebagliati",['University of Newcastle'],Italy,2021,3,https://doi.org/10.1145/3427921.3450249,ACM
75,Incentivizing Data Quality in Blockchain-Based Systems—The Case of the Digital Cardossier,"Florian Spychiger,Claudio Juan Tessone,Liudmila Zavolokina,Gerhard Schwabe","['School of Management and Law University of Applied Sciences', 'University of Zurich']",Switzerland,2022,0,https://doi.org/10.1145/3538228,ACM
76,Prediction of the Consolidation Delay in Blockchain-based Applications,"Simonetta Balsamo,Andrea Marin,Isi Mitrani,Nicola Rebagliati",['University of Newcastle'],Italy,2021,3,https://doi.org/10.1145/3427921.3450249,ACM
77,Non-Blocking Two Phase Commit Using Blockchain,"Paul Devadoss Ezhilchelvan,Amjad Aldweesh,Aad P A van Moorsel",['Newcastle University'],UK,2018,3,https://doi.org/10.1145/3211933.3211940,ACM
78,Blockchain Solutions in Education: A New Cross-Education Blockchain-Based Framework,Eman Sayed,['Zagazig University'],Egypt,2021,0,https://doi.org/10.1145/3436829.3436872,ACM
79,Poster: Blockchain-Envisioned Secure Generic Communication Framework using Signcryption,"Liang Zhang,Haibin Kan,Yuan Li,Jinrong Huang","['Fudan University', 'The Yiwu Research Institute of Fudan University  The Shanghai Engineering Research Center of Blockchain']",China,2022,0,https://doi.org/10.1145/3532105.3535034,ACM
80,Towards Secure and Scalable Blockchain Technologies,Ghassan Karame,[],Germany,2021,0,https://doi.org/10.1145/3457977.3460634,ACM
81,Preventing Spoliation of Evidence with Blockchain: A Perspective from South Asia,"Ali Shahaab,Chaminda T. E. R. Hewage,Imtiaz Khan",['Cardiff Metropolitan University'],UK,2021,0,https://doi.org/10.1145/3460537.3460550,ACM
82,Achieving Secure and Efficient P2P Data Trading based on Blockchain for Internet of Things,"Ningyu An,Xiao Liang,Xiaokun Zheng,Shuai Yuan,Xiaodong Wang,Zhitao Guan","['Brock University', 'North China Electric Power University']",China,2022,0,https://doi.org/10.1145/3494106.3528686,ACM
83,Achieving Secure and Efficient P2P Data Trading based on Blockchain for Internet of Things,"Ningyu An,Xiao Liang,Xiaokun Zheng,Shuai Yuan,Xiaodong Wang,Zhitao Guan","['Brock University', 'North China Electric Power University']",China,2022,0,https://doi.org/10.1145/3494106.3528686,ACM
84,A Variable Bulk Arrival and Static Bulk Service Queueing Model for Blockchain,"Jongho Seol,Abhilash Kancharla,Zuqiang Ke,Hyeyoung Kim,Nohpill Park","['Oklahoma State University', 'Hongik University']",USA,2020,0,https://doi.org/10.1145/3384943.3409423,ACM
85,A Variable Bulk Arrival and Static Bulk Service Queueing Model for Blockchain,"Jongho Seol,Abhilash Kancharla,Zuqiang Ke,Hyeyoung Kim,Nohpill Park","['Oklahoma State University', 'Hongik University']",USA,2020,0,https://doi.org/10.1145/3384943.3409423,ACM
86,Government Data Sharing based on Blockchain,"Yu Liu,Junfang Zeng",[],China,2021,0,https://doi.org/10.1145/3460537.3460562,ACM
87,High-speed Railway Environmental Monitoring Data Identity Authentication Scheme Based on Consortium Blockchain,"Lihua Zhang,Yang Huang,Tengfei Jiang",['East China Jiaotong University'],China,2020,0,https://doi.org/10.1145/3376044.3376045,ACM
88,A Blockchain-based Flight Data Recorder for Cloud Accountability,"Gabriele D'Angelo,Stefano Ferretti,Moreno Marzolla",['University of Bologna'],Italy,2018,23,https://doi.org/10.1145/3211933.3211950,ACM
89,Open Peer-to-Peer Systems over Blockchain and IPFS: an Agent Oriented Framework,"Antonio Tenorio-Fornés,Samer Hassan,Juan Pavón",[],de Madrid,2018,13,https://doi.org/10.1145/3211933.3211937,ACM
90,Open Peer-to-Peer Systems over Blockchain and IPFS: an Agent Oriented Framework,"Antonio Tenorio-Fornés,Samer Hassan,Juan Pavón",[],de Madrid,2018,13,https://doi.org/10.1145/3211933.3211937,ACM
91,Economic Analysis of Loot Box Market in Blockchain Games,"Yu Jiang,Sizheng Fan,Wei Cai",['The Chinese University of Hong Kong'],China,2022,0,https://doi.org/10.1145/3494106.3528675,ACM
92,Blockchain-based identity and authentication scheme for MQTT protocol,"Mwrwan Abdelrazig Abubakar,Zakwan Jaroucheh,Ahmed Yassin Al-Dubai,Xiaodong Liu",['Edinburgh Napier University'],UK,2021,0,https://doi.org/10.1145/3460537.3460549,ACM
93,"Secure, Decentralized, Privacy Preserving Machine Learning System Implementation over Blockchain","Adnesh Dhamangaonkar,Prajwal Adsul,Rohini Sarode,Sunil B Mane",[],India,2021,0,https://doi.org/10.1145/3475992.3476003,ACM
94,"Blockchain Hash, the Missing Axis of the Accounts to Settle the Triple Entry Bookkeeping System","Alessio Faccia,Narcisa Roxana Moşteanu,Luigi Pio Leonardo","['Coventry University', 'American University of Malta']",Italy,2020,2,https://doi.org/10.1145/3430279.3430283,ACM
95,"Blockchain Hash, the Missing Axis of the Accounts to Settle the Triple Entry Bookkeeping System","Alessio Faccia,Narcisa Roxana Moşteanu,Luigi Pio Leonardo","['Coventry University', 'American University of Malta']",Italy,2020,2,https://doi.org/10.1145/3430279.3430283,ACM
96,"Blockchain Hash, the Missing Axis of the Accounts to Settle the Triple Entry Bookkeeping System","Alessio Faccia,Narcisa Roxana Moşteanu,Luigi Pio Leonardo","['Coventry University', 'American University of Malta']",Italy,2020,2,https://doi.org/10.1145/3430279.3430283,ACM
97,"Resilient, crowd-sourced LPWAN infrastructure using blockchain","Arnaud Durand,Pascal A Gremaud,Jacques Pasquier",['University of Fribourg'],Switzerland,2018,12,https://doi.org/10.1145/3211933.3211938,ACM
98,PDV: Permissioned Blockchain based Personal Data Vault using Predictive Prefetching,"Neha Mishra,Haim Levkowitz",['University of Massachusetts Lowell'],USA,2021,0,https://doi.org/10.1145/3475992.3476001,ACM
99,Blockchain Enlightenment and Smart City Cryptopolis,Melanie Swan,[],USA,2018,5,https://doi.org/10.1145/3211933.3211942,ACM
100,A Master-Slave Chain Model for Multiple Blockchains,"Xinsen Hu,Kai Hu,Siyuan Wang,Qinwei Tong",['Beihang University'],China,2021,0,https://doi.org/10.1145/3446983.3446988,ACM
101,Blockchain Ethics Research: A Conceptual Model,"Yong Tang,Jason Jie Xiong,Rafael Becerril-Arreola,Lakshmi S Iyer","['University of Electronic Science and Technology of China', 'Appalachian State University', 'University of South Carolina']",USA,2019,7,https://doi.org/10.1145/3322385.3322397,ACM
102,Blockchain Ethics Research: A Conceptual Model,"Yong Tang,Jason Jie Xiong,Rafael Becerril-Arreola,Lakshmi S Iyer","['University of Electronic Science and Technology of China', 'Appalachian State University', 'University of South Carolina']",USA,2019,7,https://doi.org/10.1145/3322385.3322397,ACM
103,Data Privacy Based on IoT Device Behavior Control Using Blockchain,"Faiza Loukil,Chirine Ghedira Guegan,Khouloud Boukadi,Aïcha Nabila Benharkat,Elhadj Benkhelifa","['University of Lyon', 'University Jean Moulin Lyon 3', 'Sfax University', 'Staffordshire University']",UK,2021,11,https://doi.org/10.1145/3434776,ACM
104,Data Privacy Based on IoT Device Behavior Control Using Blockchain,"Faiza Loukil,Chirine Ghedira Guegan,Khouloud Boukadi,Aïcha Nabila Benharkat,Elhadj Benkhelifa","['University of Lyon', 'University Jean Moulin Lyon 3', 'Sfax University', 'Staffordshire University']",UK,2021,11,https://doi.org/10.1145/3434776,ACM
105,Data Privacy Based on IoT Device Behavior Control Using Blockchain,"Faiza Loukil,Chirine Ghedira Guegan,Khouloud Boukadi,Aïcha Nabila Benharkat,Elhadj Benkhelifa","['University of Lyon', 'University Jean Moulin Lyon 3', 'Sfax University', 'Staffordshire University']",UK,2021,11,https://doi.org/10.1145/3434776,ACM
106,Hands-on Permissioned Blockchain Platforms,Mahmoud M Abdallah,[],Egypt,2022,0,https://doi.org/10.1145/3531056.3542760,ACM
107,Hands-on Permissioned Blockchain Platforms,Mahmoud M Abdallah,[],Egypt,2022,0,https://doi.org/10.1145/3531056.3542760,ACM
108,"Blockchain Analytics Reference Architecture for FinTech - A Positioning Paper: Advancing FinTech with Blockchain, Data Analytics, and Enterprise Architecture",Ahmed S Elsheikh,[],Egypt,2022,0,https://doi.org/10.1145/3531056.3531068,ACM
109,Security and Privacy on Blockchain,"Rui Zhang,Rui Xue,Ling Liu",['University of Chinese Academy of Sciences'],GA,2019,327,https://doi.org/10.1145/3316481,ACM
110,Security and Privacy on Blockchain,"Rui Zhang,Rui Xue,Ling Liu",['University of Chinese Academy of Sciences'],GA,2019,327,https://doi.org/10.1145/3316481,ACM
111,Quantum Relay Blockchain and Its Applications in Key Service,Hui Chen,[],China,2020,0,https://doi.org/10.1145/3377644.3377657,ACM
112,Benchmarks and Models for Blockchain,Aad P A van Moorsel,['Newcastle University'],United Kingdom,2018,2,https://doi.org/10.1145/3184407.3184441,ACM
113,Blockchain: Distributed Event-based Processing in a Data-Centric World: Extended Abstract,Richard Douglas Hull,[],New York,2017,20,https://doi.org/10.1145/3093742.3097982,ACM
114,Architecting Blockchain Systems: A Systematic Literature Review,"Gregory Fournier,Fábio Petrillo",[],Canada,2020,0,https://doi.org/10.1145/3387940.3392196,ACM
115,Blockchain Vulnerabilities in Practice,Nils Amiet,[],Switzerland,2021,1,https://doi.org/10.1145/3407230,ACM
116,Reinshard: An Optimally Sharded Dual-Blockchain for Concurrency Resolution,"Vishal Sharma,Zengpeng Li,Paweł Szałachowski,Teik Guan Tan,Jianying ZHOU","['Queen’s University Belfast', 'Shandong University', 'Singapore University of Technology and Design']",Singapore,2022,0,https://doi.org/10.1145/3547300,ACM
117,Reinshard: An Optimally Sharded Dual-Blockchain for Concurrency Resolution,"Vishal Sharma,Zengpeng Li,Paweł Szałachowski,Teik Guan Tan,Jianying ZHOU","['Queen’s University Belfast', 'Shandong University', 'Singapore University of Technology and Design']",Singapore,2022,0,https://doi.org/10.1145/3547300,ACM
118,Reinshard: An Optimally Sharded Dual-Blockchain for Concurrency Resolution,"Vishal Sharma,Zengpeng Li,Paweł Szałachowski,Teik Guan Tan,Jianying ZHOU","['Queen’s University Belfast', 'Shandong University', 'Singapore University of Technology and Design']",Singapore,2022,0,https://doi.org/10.1145/3547300,ACM
119,FalconDB: Blockchain-based Collaborative Database,"Yanqing Peng,Min Du,Feifei Li,Raymond Cheng,Dawn Xiaodong Song","['University of Utah', 'University of California']",USA,2020,23,https://doi.org/10.1145/3318464.3380594,ACM
120,Fractional Reservation Based Mempool Processing in Blockchains,"Stanislav A Kruglik,Yash Madhwal,Sergey Vorobyov,Yury A Yanovich",['National Research University'],Russia,2020,0,https://doi.org/10.1145/3376044.3376050,ACM
121,Scaling blockchains without giving up decentralization and security: a solution to the blockchain scalability trilemma,"Gianmaria Del Monte,Diego Pennino,Maurizio Pizzonia",['Roma Tre University'],Italy,2020,7,https://doi.org/10.1145/3410699.3413800,ACM
122,Patterns for Blockchain Data Migration,"Hmn Dilum N Dilum Bandara,Xiwei Xu,Ingo Weber",[],Germany,2020,7,https://doi.org/10.1145/3424771.3424796,ACM
123,Patterns for Blockchain Data Migration,"Hmn Dilum N Dilum Bandara,Xiwei Xu,Ingo Weber",[],Germany,2020,7,https://doi.org/10.1145/3424771.3424796,ACM
